ID_UNIDADE_ORC;SQA_UNIDADE_ORCAM;ANO_EXERCICIO;CD_UNIDADE_ORC;NOME
7606;2113;2016;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO
7364;2026;2016;4491;FUNDO ESTADUAL DE CULTURA
7383;2050;2016;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL
7405;2065;2016;1651;SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA
7411;2071;2016;4461;FUNDO FINANCEIRO DE PREVIDENCIA
7413;2073;2016;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
7419;2079;2016;2071;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS
7438;2098;2016;2301;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO
7599;2106;2016;2381;DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS
7600;2107;2016;2391;IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS
7350;2012;2016;1091;PROCURADORIA GERAL DE JUSTICA
7370;2032;2016;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
7400;2060;2016;1571;SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS
7407;2067;2016;1671;SECRETARIA DE ESTADO DE ESPORTES
7422;2082;2016;2101;INSTITUTO ESTADUAL DE FLORESTAS
7427;2087;2016;2151;FUNDACAO HELENA ANTIPOFF
7435;2095;2016;2261;FUNDACAO EZEQUIEL DIAS
7440;2100;2016;2311;UNIVERSIDADE ESTADUAL DE MONTES CLAROS
7525;2144;2016;1691;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA
7598;2105;2016;2371;INSTITUTO MINEIRO DE AGROPECUARIA
7608;2115;2016;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS
7344;2006;2016;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS
7345;2007;2016;1031;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS
7347;2009;2016;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS
7351;2013;2016;4441;FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS
7352;2014;2016;4451;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR
7397;2057;2016;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS
7426;2086;2016;2141;DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS
7429;2089;2016;2171;FUNDACAO DE ARTE DE OURO PRETO
7432;2092;2016;2211;FUNDACAO TV MINAS CULTURAL E EDUCATIVA
7433;2093;2016;2241;INSTITUTO MINEIRO DE GESTAO DAS AGUAS
